1.85 -0.980607 -0.864972
1.86 -0.989257 -0.617657
1.87 -0.995434 -0.368799
1.88 -0.999122 -0.119019
1.89 -1.00031 0.131059
1.9 -0.999001 0.38081
1.91 -0.995193 0.629608
1.92 -0.988897 0.876832
1.93 -0.980129 1.12186
1.94 -0.96891 1.36409
1.95 -0.955269 1.60291
1.96 -0.93924 1.83772
1.97 -0.920863 2.06794
1.98 -0.900184 2.29298
1.99 -0.877254 2.51229
2 -0.852131 2.72533
2.01 -0.824878 2.93155
2.02 -0.795562 3.13044
2.03 -0.764258 3.3215
2.04 -0.731043 3.50426
2.05 -0.696 3.67826
2.06 -0.659217 3.84307
2.07 -0.620787 3.99826
2.08 -0.580804 4.14346
2.09 -0.53937 4.27831
2.1 -0.496586 4.40245
2.11 -0.452562 4.51559
2.12 -0.407406 4.61745
2.13 -0.361232 4.70775
2.14 -0.314154 4.78629
2.15 -0.266291 4.85286
2.16 -0.217762 4.90731
2.17 -0.168689 4.94948
2.18 -0.119195 4.97928
2.19 -0.0694019 4.99663
2.2 -0.0194356 5.00149
2.21 0.0305793 4.99384
2.22 0.0805177 4.97371
2.23 0.130255 4.94115
2.24 0.179666 4.89623
2.25 0.228629 4.83907
2.26 0.277019 4.76982
2.27 0.324718 4.68864
2.28 0.371604 4.59574
2.29 0.417561 4.49135
2.3 0.462475 4.37573
2.31 0.506232 4.24917
2.32 0.548724 4.11199
2.33 0.589844 3.96453
2.34 0.629489 3.80716
2.35 0.667561 3.64027
2.36 0.703963 3.46428
2.37 0.738606 3.27963
2.38 0.771402 3.08677
2.39 0.80227 2.88621
2.4 0.831132 2.67842
2.41 0.857916 2.46394
2.42 0.882556 2.24331
2.43 0.904989 2.01706
2.44 0.925159 1.78577
2.45 0.943017 1.55001
2.46 0.958517 1.31039
2.47 0.971621 1.06748
2.48 0.982296 0.821906
2.49 0.990515 0.574277
2.5 0.996258 0.325213
2.51 0.99951 0.0753355
2.52 1.00026 -0.17473
2.53 0.998516 -0.424359
2.54 0.994272 -0.672927
2.55 0.987543 -0.919813
2.56 0.978345 -1.1644
2.57 0.966701 -1.40607
2.58 0.95264 -1.64423
2.59 0.936198 -1.87828
2.6 0.917415 -2.10764
2.61 0.896339 -2.33172
2.62 0.873021 -2.54998
2.63 0.847522 -2.76186
2.64 0.819903 -2.96683
2.65 0.790235 -3.16439
2.66 0.758591 -3.35404
2.67 0.72505 -3.5353
2.68 0.689697 -3.70773
2.69 0.65262 -3.87088
2.7 0.613911 -4.02436
2.71 0.573668 -4.16778
2.72 0.53199 -4.30077
2.73 0.488982 -4.42302
2.74 0.444752 -4.53421
2.75 0.39941 -4.63406
2.76 0.353069 -4.72233
2.77 0.305846 -4.79879
2.78 0.257858 -4.86325
2.79 0.209226 -4.91556
2.8 0.16007 -4.95558
2.81 0.110514 -4.98321
2.82 0.0606821 -4.99838
2.83 0.0106983 -5.00105
2.84 -0.0393122 -4.99122
2.85 -0.0892244 -4.96892
2.86 -0.138914 -4.93419
2.87 -0.188255 -4.88712
2.88 -0.237127 -4.82784
2.89 -0.285405 -4.75649
2.9 -0.33297 -4.67325
2.91 -0.379703 -4.57832
2.92 -0.425486 -4.47195
2.93 -0.470205 -4.3544
2.94 -0.513749 -4.22596
2.95 -0.556009 -4.08696
2.96 -0.596879 -3.93774
2.97 -0.636256 -3.77868
2.98 -0.674043 -3.61017
2.99 -0.710144 -3.43263
3 -0.744471 -3.24651
3.01 -0.776936 -3.05228
3.02 -0.807459 -2.85041
3.03 -0.835963 -2.64142
3.04 -0.862377 -2.42583
3.05 -0.886635 -2.20417
3.06 -0.908677 -1.977
3.07 -0.928447 -1.74489
3.08 -0.945896 -1.50842
3.09 -0.96098 -1.26817
3.1 -0.973662 -1.02476
3.11 -0.983909 -0.778778
3.12 -0.991697 -0.530854
3.13 -0.997006 -0.281602
3.14 -0.999822 -0.0316466
3.15 -1.00014 0.218388
3.16 -0.997954 0.467877
3.17 -0.993276 0.716195
3.18 -0.986114 0.962724
3.19 -0.976486 1.20685
3.2 -0.964418 1.44795
3.21 -0.949938 1.68543
3.22 -0.933084 1.91871
3.23 -0.913897 2.14718
3.24 -0.892425 2.37029
3.25 -0.868722 2.58747
3.26 -0.842848 2.79818
3.27 -0.814866 3.0019
3.28 -0.784847 3.19811
3.29 -0.752866 3.38632
3.3 -0.719003 3.56607
3.31 -0.683342 3.73691
3.32 -0.645973 3.8984
3.33 -0.606989 4.05015
3.34 -0.566487 4.19177
3.35 -0.52457 4.32291
3.36 -0.48134 4.44325
3.37 -0.436908 4.55248
3.38 -0.391383 4.65032
3.39 -0.34488 4.73654
3.4 -0.297515 4.81092
3.41 -0.249405 4.87327
3.42 -0.200673 4.92344
3.43 -0.151438 4.9613
3.44 -0.101825 4.98676
3.45 -0.0519577 4.99975
3.46 -0.00196022 5.00024
3.47 0.0480421 4.98822
3.48 0.0979244 4.96374
3.49 0.147562 4.92685
3.5 0.19683 4.87765
3.51 0.245607 4.81624
3.52 0.293769 4.7428
3.53 0.341197 4.6575
3.54 0.387772 4.56056
3.55 0.433378 4.45221
3.56 0.4779 4.33274
3.57 0.521227 4.20243
3.58 0.563252 4.06162
3.59 0.603868 3.91065
3.6 0.642974 3.74991
3.61 0.680474 3.57979
3.62 0.716272 3.40072
3.63 0.750279 3.21315
3.64 0.78241 3.01755
3.65 0.812586 2.8144
3.66 0.84073 2.60422
3.67 0.866772 2.38753
3.68 0.890647 2.16487
3.69 0.912296 1.93679
3.7 0.931664 1.70388
3.71 0.948703 1.4667
3.72 0.96337 1.22586
3.73 0.975628 0.981952
3.74 0.985448 0.73559
3.75 0.992804 0.487389
3.76 0.997678 0.23797
3.77 1.00006 -0.0120446
3.78 0.999937 -0.262029
3.79 0.997317 -0.511358
3.8 0.992203 -0.759409
3.81 0.984609 -1.00556
3.82 0.974553 -1.2492
3.83 0.962061 -1.48971
3.84 0.947164 -1.72651
3.85 0.929899 -1.95898
3.86 0.910309 -2.18656
3.87 0.888444 -2.40867
3.88 0.864357 -2.62476
3.89 0.838109 -2.83429
3.9 0.809767 -3.03673
3.91 0.779399 -3.23158
3.92 0.747084 -3.41835
3.93 0.7129 -3.59657
3.94 0.676934 -3.76581
3.95 0.639276 -3.92563
3.96 0.60002 -4.07563
3.97 0.559264 -4.21545
